objID,SG1_votes,SG2_prob,SG3_timescale_class,SG3_timescale_peak,SG3_prob_1,SG3_prob_2,SG3_prob_3,SG3_prob_4,SG3_lower_bound,SG3_upper_bound,PROBABILITY_FLAG
587729407539478803,3,0.0116,4,10,0.15083,0.24026,0.306919,0.301991,6.84051,10.0,0
587729407539478819,0,0.0389,4,10,0.106455,0.119787,0.134584,0.639174,8.95436,10.0,0
587729407539544304,0,0.0001,4,10,0.43329,0.0924186,0.0643565,0.409935,9.10755,10.0,0
587729407539609806,20,0.0006,4,9,0.265592,0.19283,0.193065,0.348513,6.34302,10.0,0
587729407539675350,0,0.0013,4,10,0.352931,0.141306,0.0917883,0.413975,8.6593,10.0,0
587729407539740945,6,0.3096,4,10,0.071341,0.106866,0.279343,0.542451,7.76349,10.0,0
587729407539741021,0,0.0,4,10,0.254975,0.171889,0.189239,0.383896,7.99717,10.0,0
587729407539741032,0,0.169,4,10,0.0927166,0.0942663,0.183688,0.629329,8.58159,10.0,0
587729407539806466,1,0.2537,1,0,0.832771,0.0945894,0.0229169,0.0497225,0.0,1.0,0
587729407539806474,0,0.093,4,10,0.00620355,0.0174241,0.0641283,0.912244,9.17607,10.0,0
587729407539806493,12,0.0851,4,9,0.085024,0.0959523,0.271527,0.547497,6.79395,10.0,0
587729407539806505,20,0.0033,4,9,0.0411658,0.112831,0.28637,0.559633,6.71797,10.0,0
587729407539872039,14,0.0055,4,10,0.122256,0.156613,0.288287,0.432843,7.41189,10.0,0
587729407539937420,11,0.5675,4,10,0.200276,0.199211,0.25638,0.344133,7.11826,10.0,1
587729407539937445,0,0.0,4,10,0.288082,0.146176,0.152434,0.413308,8.44574,10.0,0
587729407539937460,0,0.1886,4,10,0.160795,0.0588892,0.0724357,0.70788,9.17207,10.0,0
587729407539937486,0,0.0,4,10,0.417659,0.0174007,0.0144502,0.550491,9.44479,10.0,0
587729407539937501,0,0.2375,4,9,0.0113108,0.0715216,0.27335,0.643817,8.04098,10.0,0
587729407539937507,0,0.0008,4,10,0.0606065,0.0687887,0.129021,0.741584,8.97946,10.0,0
587729407539937532,0,0.0,4,10,0.513517,0.0775043,0.0571167,0.351862,9.02943,10.0,0
587729407539937536,1,0.5563,4,10,0.0321519,0.0578302,0.235919,0.674099,8.20925,10.0,0
587729407539937572,1,0.0,4,10,0.429339,0.106691,0.096852,0.367118,8.67298,10.0,0
587729407540003043,5,0.0193,4,10,0.336765,0.134946,0.14772,0.380569,8.19818,10.0,0
587729407540003059,0,0.0022,4,10,0.228867,0.0895796,0.12412,0.557433,8.86576,10.0,0
587729407540003169,0,0.6601,4,10,0.00451778,0.0181669,0.119245,0.85807,8.84758,10.0,0
587729407540068428,0,0.0,4,10,0.135451,0.0956104,0.169731,0.599207,8.8256,10.0,0
587729407540068586,0,0.2322,4,10,0.0230812,0.0726185,0.142293,0.762007,8.96054,10.0,0
587729407540068644,18,0.3018,2,1,0.323634,0.30491,0.191972,0.179484,0.0,4.86559,0
587729407540134066,15,0.0143,4,10,0.214896,0.132971,0.26564,0.386494,7.40277,10.0,0
587729407540134095,0,0.6527,4,10,0.0108838,0.0138424,0.0757332,0.899541,9.15375,10.0,0
587729407540134134,2,0.4738,4,10,0.306148,0.155266,0.144783,0.393803,8.18568,10.0,0
587729407540134144,0,0.0001,4,10,0.224852,0.0951628,0.116026,0.563959,9.05149,10.0,0
587729407540199551,3,0.066,4,10,0.0296049,0.0673731,0.248975,0.654047,7.02913,10.0,0
587729407540199573,0,0.8948,4,10,0.0292104,0.0532005,0.142576,0.775014,8.99057,10.0,0
587729407540199598,20,0.1286,4,10,0.163949,0.176685,0.294188,0.365178,7.08926,10.0,0
587729407540199638,0,0.3187,4,10,0.0526737,0.0307151,0.0803966,0.836215,9.18698,10.0,0
587729407540265217,0,0.0186,4,10,0.0678914,0.0328837,0.054462,0.844763,9.28321,10.0,0
587729407540265225,0,0.0288,4,10,0.212334,0.112345,0.105263,0.570058,8.96363,10.0,0
